                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    133,                 0.9857,                0.62365,                 1.4353,                0.93878,                0.96242,                   0.98,                0.76889,                0.85026,                0.44471,                 1.3123,              0.0002708,              0.0002708,              0.0002708
                    134,                0.98342,                0.62653,                 1.4428,                0.94595,                0.94715,                0.97898,                0.76896,                0.84909,                0.44497,                 1.3116,              0.0002576,              0.0002576,              0.0002576
                    135,                0.99073,                0.63129,                 1.4317,                0.94104,                0.95371,                0.97968,                0.77318,                0.83171,                0.44512,                 1.2989,              0.0002444,              0.0002444,              0.0002444
                    136,                0.98382,                0.61789,                 1.4268,                 0.9427,                0.95866,                0.98077,                0.77786,                0.82782,                0.43802,                 1.2965,              0.0002312,              0.0002312,              0.0002312
                    137,                0.96655,                0.62235,                 1.4185,                0.94388,                0.96703,                0.98133,                0.77771,                0.82748,                0.43206,                  1.294,               0.000218,               0.000218,               0.000218
                    138,                0.97449,                0.62402,                 1.4406,                0.94248,                0.96064,                0.98175,                0.77647,                0.82767,                0.43766,                 1.2915,              0.0002048,              0.0002048,              0.0002048
                    139,                0.97377,                0.61571,                 1.4326,                0.94625,                0.95925,                0.97983,                0.77447,                0.82418,                0.43492,                 1.2936,              0.0001916,              0.0001916,              0.0001916
                    140,                0.96836,                0.62452,                 1.4164,                0.95165,                0.95378,                0.98041,                0.77909,                0.81781,                0.43185,                 1.2884,              0.0001784,              0.0001784,              0.0001784
                    141,                0.92142,                0.54794,                 1.3834,                0.94293,                0.95615,                0.98015,                0.77026,                0.85619,                0.44604,                 1.3118,              0.0001652,              0.0001652,              0.0001652
                    142,                0.89647,                0.51963,                 1.3621,                 0.9429,                0.95829,                0.98131,                0.77859,                0.81667,                0.43602,                 1.2907,               0.000152,               0.000152,               0.000152
                    143,                0.89422,                0.52806,                 1.3701,                0.94637,                0.96467,                0.98225,                0.78409,                0.81606,                0.42595,                 1.2873,              0.0001388,              0.0001388,              0.0001388
                    144,                0.90223,                0.53218,                 1.3687,                0.94869,                0.96573,                 0.9824,                0.78294,                0.81315,                0.42564,                 1.2842,              0.0001256,              0.0001256,              0.0001256
                    145,                 0.8904,                0.50978,                 1.3592,                0.95023,                0.96151,                0.98282,                0.78701,                0.80131,                0.42524,                 1.2766,              0.0001124,              0.0001124,              0.0001124
                    146,                0.88166,                0.51917,                 1.3583,                 0.9429,                0.96918,                0.98392,                0.78661,                0.80375,                0.42138,                 1.2774,               9.92e-05,               9.92e-05,               9.92e-05
                    147,                0.87068,                0.50275,                 1.3279,                0.94642,                0.96916,                0.98438,                0.79009,                0.79872,                0.41724,                 1.2749,                8.6e-05,                8.6e-05,                8.6e-05
                    148,                0.88149,                0.50952,                  1.358,                0.94684,                0.97058,                0.98369,                0.79188,                0.79384,                0.41358,                 1.2675,               7.28e-05,               7.28e-05,               7.28e-05
                    149,                 0.8759,                0.50642,                  1.349,                0.94956,                0.96881,                0.98376,                0.79063,                0.79286,                0.41666,                 1.2679,               5.96e-05,               5.96e-05,               5.96e-05
                    150,                0.88229,                 0.5142,                 1.3562,                 0.9515,                 0.9658,                0.98374,                0.79162,                0.79151,                0.41663,                 1.2664,               4.64e-05,               4.64e-05,               4.64e-05
